"scientific_name","Auca","Baca","Biva","Bowa","Cofr","Demi","Joma","Prcr","Rist"
"Acanalonia servillei",0,5,0,1,5,6,3,3,11
"Alcaeorrhynchus grandis",0,0,0,0,0,1,0,0,3
"Anomala innuba",32,14,1,0,5,3,5,1,67
"Blattella asahinai",1,4,0,0,0,0,1,0,0
"Callistethus marginatus",226,27,12,7,38,3,14,96,16
"Calosoma scrutator",0,0,0,0,0,0,1,0,0
"Camponotus castaneus",0,0,3,1,1,0,2,3,28
"Camponotus floridanus",5,3,4,8,2,0,2,7,21
"Chauliodes rastricornis",20,0,18,9,3,7,35,25,41
"Climaciella brunnea",0,0,0,0,0,0,1,0,0
"Corydalus cornutus",10,0,1,0,0,0,3,6,0
"Cybister fimbriolatus",16,0,1,10,9,2,2,5,0
"Dichotomius carolinus",4,0,0,1,0,1,0,0,2
"Dicromantispa interrupta",0,0,0,0,1,0,0,0,0
"Draeculacephala inscripta",7,0,2,7,0,0,0,17,117
"Erythroneura calyculata",0,0,0,0,2,2,0,0,0
"Euphoria sepulcralis",0,0,0,0,0,1,0,0,0
"Graminella cognita",0,0,0,0,0,0,0,0,1
"Harmonia axyridis",2,1,0,0,0,0,2,0,0
"Hydaticus bimarginatus",61,57,77,41,285,116,68,179,46
"Hydrophilus ovatus",2,0,2,0,1,0,3,9,2
"Lethocerus uhleri",3,1,3,1,1,5,3,2,3
"Lytta polita",0,0,1,1,0,0,0,0,0
"Mallodon dasystomus",0,0,0,0,1,0,0,1,0
"Megalodacne fasciata",0,0,2,0,1,6,0,1,3
"Melanolestes picipes",2,0,0,0,0,0,0,0,0
"Necrophila americana",2,0,0,2,0,1,0,4,0
"Neoconocephalus triops",0,0,0,0,0,0,0,0,1
"Neoscapteriscus borellii",4,0,0,0,0,0,0,1,2
"Odontotaenius disjunctus",0,0,0,0,0,0,0,2,0
"Pelidnota punctata",0,2,1,4,3,4,1,1,3
"Periplaneta americana",0,0,1,0,0,0,0,0,0
"Phileurus truncatus",0,0,0,0,0,1,1,1,0
"Phileurus valgus",1,0,1,4,0,0,0,2,1
"Plecia nearctica",10,0,19,35,12,25,5,33,8
"Prionus imbricornis",0,0,0,14,2,1,0,6,0
"Prionus pocularis",2,1,1,1,2,1,1,2,6
"Prosapia bicincta",150,1,27,57,13,2,9,104,29
"Rhiginia cruciata",0,0,0,0,0,0,0,4,0
"Stilpnochlora couloniana",4,0,0,0,0,0,0,0,0
"Tabanus atratus",0,0,0,0,0,0,0,0,2
"Tylozygus bifidus",0,1,0,0,0,0,1,1,8
"Tylozygus geometricus",0,0,0,0,0,0,0,7,6
